Lacteos,Manteca DIA Calidad Extra 200 Gr, 228 
Lacteos,Yogur Entero Bebible Yogurísimo Frutilla,  210
Lacteos,Postre de Chocolate DIA 230 Gr,  102
Lacteos,Leche Semi Descremada DIA,  129
Lacteos,Queso Rallado Ilolay 120 Gr,  284
Carnes,Pollo Fresco 1kg, 299 
Carnes,Solomillo de Cerdo Envasado al Vacío 1kg,  899 
Carnes,Carne Picada común 1kg,  399
Carnes,Nalga Cook Master 1kg,  1199
Carnes,Muslo Pollo Cristal 1kg,  599
Enlatados,Maíz Dulce Bonduelle 225 Gr,  137
Enlatados,Arvejas Bonduelle 300 Gr,  165
Enlatados,Arvejas secas remojadas DIA 300 Gr,  55
Enlatados,Garbanzos Secos Remojados DIA 350 Gr,  52.70
Enlatados,Garbanzos La Campagnola 300 Gr,  97,69
Golosinas,Alfajor Milka Oreo con Dulce de Leche 61 Gr,  121
Golosinas,Oblea de Chocolate Kit Kat Extra milk,  180
Golosinas,Alfajor Pepitos 57 Gr,  126
Golosinas,Chocolate Vizzio Leche 90 Gr,  195
Golosinas,Turrón Bon o Bon 15 Gr,  49
